,Year,Summer,Games,Host,NOC,Team,Names,Females,Sports,Events,Medals,Golds,Silvers,Bronzes,Athletes per Event
2733,1980,0,1980 Winter,0,KOR,South Korea,10,4,4,15,0,0,0,0,0.667
2734,1980,0,1980 Winter,0,LIB,Lebanon,3,1,1,5,0,0,0,0,0.6
2735,1980,0,1980 Winter,0,LIE,Liechtenstein,7,3,2,8,4,2,2,0,0.875
2736,1980,0,1980 Winter,0,MGL,Mongolia,3,0,2,7,0,0,0,0,0.429
2737,1980,0,1980 Winter,0,NED,Netherlands,29,4,2,10,4,1,2,1,2.9
2738,1980,0,1980 Winter,0,NOR,Norway,63,9,7,28,10,1,3,6,2.25
2739,1980,0,1980 Winter,0,NZL,New Zealand,5,2,1,6,0,0,0,0,0.833
2740,1980,0,1980 Winter,0,POL,Poland,30,1,5,13,0,0,0,0,2.308
2741,1980,0,1980 Winter,0,ROU,Romania,27,2,3,7,0,0,0,0,3.857
2742,1980,0,1980 Winter,0,ROU,Romania-1,4,0,1,2,0,0,0,0,2.0
2743,1980,0,1980 Winter,0,ROU,Romania-2,4,0,1,2,0,0,0,0,2.0
2744,1980,0,1980 Winter,0,SUI,Switzerland,36,11,8,21,3,0,0,3,1.714
2745,1980,0,1980 Winter,0,SUI,Switzerland-1,6,0,1,2,1,0,1,0,3.0
2746,1980,0,1980 Winter,0,SUI,Switzerland-2,6,0,1,2,1,1,0,0,3.0
2747,1980,0,1980 Winter,0,SWE,Sweden,61,12,9,32,4,3,0,1,1.906
2748,1980,0,1980 Winter,0,TCH,Czechoslovakia,41,7,7,23,1,0,0,1,1.783
